Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Kyle Schafer,4,Grim City Reapers,Buffalo 2,Tier 2,4,2,0,2,0,0.5
Evan Levy,19,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,2,0,2,0,0.33
Jonathan Camastro,13,Long Island Sound,North Jersey 2,Tier 2,7,2,0,2,0,0.29
Scott Powell,0,Maple Shade Chiefs,South Jersey 2,Tier 2,5,2,0,2,1.5,0.4
Jake Archambault,94,Niagara Daredevils,Buffalo,Tier 1,4,2,0,2,0,0.5
Johnathan De Andrade,67,Niagara Daredevils,Buffalo,Tier 1,4,2,0,2,0,0.5
Shane Padykula,30,Orlando Mutiny,Florida 2,Tier 2,6,2,0,2,0,0.33
Tyler Witiak,23,Phoenixville Purge,Philadelphia 2,Tier 2,5,2,0,2,1.5,0.4
BJ Goodwin,89,Raleigh Squall,Carolina 3,Tier 3,6,2,0,2,0,0.33
Chad Guderian,9,Red River Rougarou,Texas 3,Tier 3,6,2,0,2,0,0.33
Cam Green,10,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,2,0,2,0,0.5
Alex Carreiro,6,South Coast Chargers,New England 2,Tier 2,4,2,0,2,0,0.5
Steve Osherow,12,South Jersey Majestic,South Jersey 2,Tier 2,1,2,0,2,0,2
Joey Gleeson,97,Southside Rats,Chicago 2,Tier 2,4,2,0,2,0,0.5
Zach Smith,92,Steel City Show Stoppers,Pittsburgh,Tier 1,3,2,0,2,0,0.67
Vince Talbot,27,Arlington Plague,Washington DC,Tier 2,4,1,1,2,1.5,0.5
Tyler Midwinter,8,Arlington Plague,Washington DC,Tier 2,4,1,1,2,1.5,0.5
Bobby Pardini,4,Bay Area Bashers,California 2,Tier 2,7,1,1,2,0,0.29
Matt McCann,94,Bay Area Bashers,California 2,Tier 2,7,1,1,2,0,0.29
David Fetherstonhaugh,12,Bay Area Bashers,California 2,Tier 2,7,1,1,2,0,0.29
Eric Appel,28,Bay Area Burger Boys,California 3,Tier 3,4,1,1,2,0,0.5
Alec Myers,21,Bellmawr Hawks,New Jersey,Tier 1,5,1,1,2,0,0.4
Adam Holt,9,Butler Bantams,Pittsburgh 2,Tier 2,5,1,1,2,0,0.4
Troy Double,96,Butler Bantams,Pittsburgh 2,Tier 2,4,1,1,2,0,0.5
RC Double,2,Butler Bantams,Pittsburgh 2,Tier 2,5,1,1,2,0,0.4
Ryan Weiser,11,Columbus Counts,Indiana 3,Tier 3,5,1,1,2,0,0.4
Nick Beard,99,Delco Devils,Philadelphia 3,Tier 3,3,1,1,2,0,0.67
Harry Webber,27,Delco Devils,Philadelphia 3,Tier 3,4,1,1,2,0,0.5
Dylan Irizarry,17,Grim City Reapers,Buffalo 2,Tier 2,4,1,1,2,0,0.5
Jimmy O’Neil,21,Jersey Dinos,Philadelphia 3,Tier 3,5,1,1,2,1.5,0.4
Corey Migliaccio,16,Jersey Dinos,Philadelphia 3,Tier 3,5,1,1,2,0,0.4
AJ Mills,54,Leominster Stars,Massachusetts,Tier 1,5,1,1,2,1.5,0.4
