Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Kyle McKee,92,Columbus Counts,Indiana 3,Tier 3,2,0,1,1,0,0.5
Sean Flanders,23,Columbus Counts,Indiana 3,Tier 3,2,0,1,1,0,0.5
PJ Biagetti,9,Cranberry Apocalypse,Pittsburgh 2,Tier 2,1,0,1,1,0,1
Kyle Turk,33,Crystal City Hedgehogs,Maryland 3,Tier 3,1,0,1,1,3,1
Zaid Toorawa,19,Dallas Fort Worth Marksmen,Texas 3,Tier 3,1,0,1,1,0,1
Harry Sye,61,Dallas Fort Worth Marksmen,Texas 3,Tier 3,1,0,1,1,0,1
Matt Budzynski,69,Daytona D5 Ducks,Florida 2,Tier 2,2,0,1,1,0,0.5
Jon Wojtas,9,Daytona D5 Ducks,Florida 2,Tier 2,2,0,1,1,0,0.5
Eric Impriano Jr,68,Delco Demons,Philadelphia 2,Tier 2,2,0,1,1,0,0.5
Brett Hendricks,77,Delco Demons,Philadelphia 2,Tier 2,2,0,1,1,0,0.5
Tim Willard,3,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,0,0.25
Logan Kelly,4,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,1.5,0.25
James Simpson,13,Delco Devils,Philadelphia 3,Tier 3,3,0,1,1,0,0.33
Harry Webber,27,Delco Devils,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Nick DiVito,29,Evesham Tortugas,New Jersey,Tier 1,2,0,1,1,0,0.5
Justin Moroney,9,Evesham Tortugas,New Jersey,Tier 1,2,0,1,1,0,0.5
Jack Rhoades,77,Evesham Tortugas,New Jersey,Tier 1,2,0,1,1,0,0.5
Robbie Yellets,4,Harrisburg Hustle,Philadelphia 2,Tier 2,1,0,1,1,0,1
Jerry D'Agostino,29,Hatfield Black Widows,Philadelphia 3,Tier 3,1,0,1,1,0,1
Simon Desjardins,74,Hudson Saints,North Jersey 2,Tier 2,2,0,1,1,0,0.5
Ben Morgan,44,Hudson Saints,North Jersey 2,Tier 2,2,0,1,1,0,0.5
Phil Klitirinos,23,Hudson Saints,North Jersey 2,Tier 2,2,0,1,1,0,0.5
Joe Magosin,24,Hudson Saints,North Jersey 2,Tier 2,2,0,1,1,0,0.5
Michael Aneser,43,Jersey Dinos,Philadelphia 3,Tier 3,4,0,1,1,0,0.25
Will Siracusa,61,Jersey Dinos,Philadelphia 3,Tier 3,4,0,1,1,1.5,0.25
Tommy Lawrence,4,Jersey Shore Sharks,Philadelphia 3,Tier 3,1,0,1,1,0,1
Shane Dooley,31,Jersey Shore Sharks,Philadelphia 3,Tier 3,1,0,1,1,0,1
John White,66,Lake Erie Predators,Buffalo 2,Tier 2,3,0,1,1,0,0.33
Jamie Annunziata,51,Lake Erie Predators,Buffalo 2,Tier 2,3,0,1,1,0,0.33
Mitch Smith,81,Lake Erie Predators,Buffalo 2,Tier 2,3,0,1,1,0,0.33
Matt Morano,90,Lake Erie Predators,Buffalo 2,Tier 2,3,0,1,1,1.5,0.33
Paul Sanchez,22,Lake Erie Predators,Buffalo 2,Tier 2,3,0,1,1,0,0.33
Will Gallen,47,Lakeland Caribou,New Jersey,Tier 1,2,0,1,1,0,0.5
Mike Larkin,25,Lakewood Ranch Manatees,Florida 2,Tier 2,1,0,1,1,0,1
Moses Robicheau,14,Las Vegas Shiners,California 3,Tier 3,3,0,1,1,0,0.33
Zack Hill,27,Las Vegas Shiners,California 3,Tier 3,2,0,1,1,1.5,0.5
Eric Pellechi,55,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,0,1,1,0,0.2
Josh Weger,9,Long Island Ball Hockey Team,North Jersey 2,Tier 2,4,0,1,1,0,0.25
Billy Dickhut,85,Long Island Ball Hockey Team,North Jersey 2,Tier 2,4,0,1,1,0,0.25
Rob DeNezzo,8,Long Island Sound,North Jersey 2,Tier 2,6,0,1,1,0,0.17
James Abbene,80,Long Island Sound,North Jersey 2,Tier 2,6,0,1,1,0,0.17
Mike Dilorenzo,21,Los Angeles Royals,California 2,Tier 2,2,0,1,1,0,0.5
JC Waterman,16,Malden Maulers,Massachusetts 2,Tier 2,3,0,1,1,0,0.33
David Debenedictis,25,Malden Maulers,Massachusetts 2,Tier 2,3,0,1,1,0,0.33
MJ Quillen,21,Maple Shade Chiefs,South Jersey 2,Tier 2,9,0,1,1,1.5,0.11
Ryan Mannello,44,Maple Shade Chiefs,South Jersey 2,Tier 2,9,0,1,1,0,0.11
Brendan Critchfield,98,Maple Shade Leafs,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Daniel Vallen,48,Maple Shade Leafs,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Chris Porter,17,Maple Shade Leafs,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Daniel Bauer,50,Maple Shade Leafs,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
John Stewart,27,Marlton Dawgz,New Jersey,Tier 1,5,0,1,1,1.5,0.2
Rob Agnoni,44,Marlton Dawgz,New Jersey,Tier 1,6,0,1,1,3,0.17
Steve Zimmerman,21,Marlton Dawgz,New Jersey,Tier 1,6,0,1,1,9.5,0.17
Mike Miller,44,Maryland Sparks,Washington DC,Tier 2,6,0,1,1,1.5,0.17
Josh Hail,30,Maryland Sparks,Washington DC,Tier 2,6,0,1,1,1.5,0.17
Scott Randoph,12,MassBay Thunderducks,Massachusetts 2,Tier 2,3,0,1,1,0,0.33
Jordan Mays,30,MassBay Thunderducks,Massachusetts 2,Tier 2,3,0,1,1,0,0.33
JP Taddeo,9,MassBay Thunderducks,Massachusetts 2,Tier 2,3,0,1,1,0,0.33
Lee Nogler,33,MassBay Thunderducks,Massachusetts 2,Tier 2,2,0,1,1,0,0.5
Billy Pomfret,55,Mass Minutemen,New England 2,Tier 2,5,0,1,1,0,0.2
Pat Sullivan,27,Mass Minutemen,New England 2,Tier 2,4,0,1,1,0,0.25
Peter Sylvia,56,Mass Minutemen,New England 2,Tier 2,4,0,1,1,3,0.25
Jeff Fontes,23,Mass Minutemen,New England 2,Tier 2,4,0,1,1,1.5,0.25
Chris Sylvia,6,Mass Minutemen,New England 2,Tier 2,5,0,1,1,0,0.2
John Cuddahy,16,Mass Vengeance,Massachusetts 2,Tier 2,5,0,1,1,1.5,0.2
Matt Luis,24,Mass Vengeance,Massachusetts 2,Tier 2,5,0,1,1,0,0.2
Alyssa L'Ecuyer,17,Mass Vengeance,Massachusetts 2,Tier 2,7,0,1,1,0,0.14
Ryan  Perhac,67,McKeesport Magic,Pittsburgh 2,Tier 2,3,0,1,1,1.5,0.33
Brandon  Carder,57,McKeesport Magic,Pittsburgh 2,Tier 2,3,0,1,1,1.5,0.33
Tommy Tedesco,42,McKeesport Magic,Pittsburgh 2,Tier 2,4,0,1,1,0,0.25
Noah  Evans,9,McKeesport Magic,Pittsburgh 2,Tier 2,4,0,1,1,0,0.25
Jordan  Bowling,67,Midwestern Mastodons,Indiana 3,Tier 3,2,0,1,1,0,0.5
Riley Mulvihill,97,Midwestern Mastodons,Indiana 3,Tier 3,2,0,1,1,0,0.5
Mark  Davis,13,Midwestern Mastodons,Indiana 3,Tier 3,2,0,1,1,0,0.5
Darrin Trebes,4,Midwestern Mastodons,Indiana 3,Tier 3,2,0,1,1,0,0.5
Shaymus Dunn,16,Mill City Warriors,Massachusetts 2,Tier 2,8,0,1,1,12,0.13
Mark Richardson,55,Mill City Warriors,Massachusetts 2,Tier 2,7,0,1,1,1.5,0.14
Andrew Dorsey,22,Mon Valley Warbirds,Pittsburgh,Tier 1,2,0,1,1,0,0.5
Garrett Gillie,61,Mon Valley Warbirds,Pittsburgh,Tier 1,2,0,1,1,0,0.5
KJ Meek,3,Mon Valley Warbirds,Pittsburgh,Tier 1,2,0,1,1,0,0.5
Robert Romarino,8,Monroe Storm,South Jersey 2,Tier 2,3,0,1,1,0,0.33
Tyler Spear,92,Monroe Storm,South Jersey 2,Tier 2,3,0,1,1,0,0.33
Justin Harvey,34,Niagara Daredevils,Buffalo,Tier 1,4,0,1,1,1.5,0.25
Jaeden Colbourne,81,Niagara Daredevils,Buffalo,Tier 1,4,0,1,1,0,0.25
Jackson Roberts,70,Niagara Daredevils,Buffalo,Tier 1,1,0,1,1,0,1
Brian Szolga,98,Niagara Daredevils,Buffalo,Tier 1,4,0,1,1,0,0.25
TJ Swartzmeyer,17,Nickel City Smoke,Buffalo,Tier 1,3,0,1,1,0,0.33
Mike Oakley,68,Nickel City Smoke,Buffalo,Tier 1,3,0,1,1,0,0.33
Matt Stewart,29,Nickel City Smoke,Buffalo,Tier 1,3,0,1,1,1.5,0.33
Brian Steinmentz,4,Nickel City Smoke,Buffalo,Tier 1,3,0,1,1,0,0.33
Chris Giesler,14,Nickel City Smoke,Buffalo,Tier 1,3,0,1,1,0,0.33
Vinny Petruzella,14,North Jersey Hired Guns,North Jersey 2,Tier 2,3,0,1,1,0,0.33
Matt Jones,25,North Jersey Hired Guns,North Jersey 2,Tier 2,3,0,1,1,0,0.33
James Bellon,57,North Jersey Hired Guns,North Jersey 2,Tier 2,3,0,1,1,0,0.33
Joey Ogonowsky,17,North Shore Assassins,Boston 3,Tier 3,1,0,1,1,0,1
Jason Daley,7,Northside Militia,Pittsburgh 2,Tier 2,6,0,1,1,4.5,0.17
Matt Williams,6,Oakridge Owls,Massachusetts,Tier 1,5,0,1,1,0,0.2
Kyle Snow,25,Oakridge Owls,Massachusetts,Tier 1,3,0,1,1,0,0.33
Scott Shinn,7,Orange County Wolves,California 2,Tier 2,2,0,1,1,0,0.5
David Rodriguez,27,Orange County Wolves,California 2,Tier 2,1,0,1,1,0,1
Shane Padykula,30,Orlando Mutiny,Florida 2,Tier 2,2,0,1,1,0,0.5
John  Tosado,45,Orlando Mutiny,Florida 2,Tier 2,2,0,1,1,0,0.5
Sean Smith,44,Orlando Mutiny,Florida 2,Tier 2,2,0,1,1,0,0.5
Ben Chianciola,11,Orlando Mutiny,Florida 2,Tier 2,2,0,1,1,0,0.5
Lou O'Connor,3,Penn Hills Battalion,Pittsburgh,Tier 1,2,0,1,1,0,0.5
Chris Bittner,19,Penn Hills Imperium,Pittsburgh,Tier 1,3,0,1,1,0,0.33
Harrison Litzinger,21,Penn Hills Imperium,Pittsburgh,Tier 1,5,0,1,1,1.5,0.2
Colin Downing,31,Penn Hills Imperium,Pittsburgh,Tier 1,5,0,1,1,0,0.2
Dan Steele,64,Philadelphia Berserkers,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Shaun Fasbinder,44,Philadelphia Code Red,Philadelphia 2,Tier 2,2,0,1,1,0,0.5
Brandon Stahl,27,Philly Heat,Philadelphia 2,Tier 2,4,0,1,1,0,0.25
Matt Grivnovics,16,Philly Heat,Philadelphia 2,Tier 2,4,0,1,1,0,0.25
Danny Grivnovics,37,Philly Heat,Philadelphia 2,Tier 2,4,0,1,1,0,0.25
Chris Charlton,73,Philly Heat,Philadelphia 2,Tier 2,4,0,1,1,1.5,0.25
Kyle Laggner,15,Portland Golden Eagles,Pacific Northwest 3,Tier 3,2,0,1,1,0,0.5
Jack Ingalls,47,Queen City Crowns,Carolina 3,Tier 3,3,0,1,1,0,0.33
Chris Cookingham,44,Queen City Crowns,Carolina 3,Tier 3,3,0,1,1,0,0.33
Caleb Brownlow,83,Queen City Crowns,Carolina 3,Tier 3,3,0,1,1,1.5,0.33
Josh Greco,19,Queen City Crowns,Carolina 3,Tier 3,3,0,1,1,3,0.33
Chris Cooper,8,Queen City Squids,Buffalo 2,Tier 2,1,0,1,1,0,1
Nick Richter,24,Queen City Squids,Buffalo 2,Tier 2,1,0,1,1,0,1
Jeff Rogan,3,Queen City Squids,Buffalo 2,Tier 2,1,0,1,1,0,1
Josh Holbrook,26,Queen City Squids,Buffalo 2,Tier 2,1,0,1,1,0,1
Martin Witt,14,Raleigh Squall,Carolina 3,Tier 3,3,0,1,1,0,0.33
Tim Corrigan,88,Raleigh Squall,Carolina 3,Tier 3,3,0,1,1,0,0.33
Kris DePierro,4,Raleigh Surge,Carolina 3,Tier 3,1,0,1,1,3,1
Brad Duggan,55,Red River Rougarou,Texas 3,Tier 3,2,0,1,1,0,0.5
Keith Sullivan,61,Red River Rougarou,Texas 3,Tier 3,2,0,1,1,0,0.5
Derek Degasse,12,Rhode Island Raging Goats,New England 2,Tier 2,2,0,1,1,0,0.5
Danny Brennan,77,Rhode Island Raging Goats,New England 2,Tier 2,2,0,1,1,0,0.5
Chris Razza,85,Rhode Island Raging Goats,New England 2,Tier 2,2,0,1,1,0,0.5
Evan Huckalo,88,Rose City Hockey Club,Buffalo,Tier 1,2,0,1,1,0,0.5
Brian Bowen,37,Savage Ogopogos,Maryland 3,Tier 3,1,0,1,1,0,1
Patrick Cotter,63,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,1,0,1,1,0,1
Salvatore  Ippolito,85,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,2,0,1,1,0,0.5
Logan McNeil,5,Shreveport Ragin' Gators,Texas 3,Tier 3,1,0,1,1,0,1
Joey Rasavage,0,Sin City Biohazard,California 3,Tier 3,2,0,1,1,0,0.5
Erin Best,17,Sin City Biohazard,California 3,Tier 3,2,0,1,1,0,0.5
Patrick Gillard,11,SoCal Swell,California 3,Tier 3,2,0,1,1,0,0.5
Dave Thorpe,3,SoCal Swell,California 3,Tier 3,2,0,1,1,0,0.5
Zack  Massa,17,South Coast Chargers,New England 2,Tier 2,4,0,1,1,1.5,0.25
Robert Marini,12,South Florida Superior,Florida 2,Tier 2,1,0,1,1,0,1
Eric Stocklin,8,South Jersey Jays,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Marco Decotiis,77,South Jersey Knights,South Jersey 2,Tier 2,3,0,1,1,1.5,0.33
Chris Comito,2,South Jersey Knights,South Jersey 2,Tier 2,3,0,1,1,1.5,0.33
Myles  Magee,71,South Jersey Majestic,South Jersey 2,Tier 2,4,0,1,1,1.5,0.25
Giff  McGinness,42,South Jersey Majestic,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Nick Rhoades,53,South Jersey Majestic,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Dennis Brandimarte,3,South Jersey Nights Watch,New Jersey,Tier 1,6,0,1,1,1.5,0.17
Kyle Heckler,44,South Jersey Sloths,South Jersey 2,Tier 2,3,0,1,1,0,0.33
Anthony Higareda,25,South Jersey Sloths,South Jersey 2,Tier 2,3,0,1,1,1.5,0.33
Alex Castells,18,South Jersey Soul,South Jersey 2,Tier 2,1,0,1,1,0,1
Robbie Liciaradello,14,South Jersey Soul,South Jersey 2,Tier 2,1,0,1,1,1.5,1
Jonavin Pace,26,South Jersey Soul,South Jersey 2,Tier 2,1,0,1,1,1.5,1
Leo Impagliazzo,16,South Jersey Top Guns,New Jersey,Tier 1,2,0,1,1,0,0.5
Evan Keefe,91,South Jersey Top Guns,New Jersey,Tier 1,2,0,1,1,0,0.5
Justin Reuther,28,South Jersey Top Guns,New Jersey,Tier 1,2,0,1,1,0,0.5
Boomer Janssen,36,South Philly Moonshiners,Philadelphia 3,Tier 3,2,0,1,1,1.5,0.5
Nick DiTrolio,29,South Philly Moonshiners,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Roy Aharonovich,7,South Philly Moonshiners,Philadelphia 3,Tier 3,2,0,1,1,0,0.5
Justyn Stockwell,9,Southcoast Blue Devils,New England 2,Tier 2,3,0,1,1,1.5,0.33
Cole LaForce,94,Southcoast Blue Devils,New England 2,Tier 2,3,0,1,1,0,0.33
Jonathan Ferriera,15,Southcoast Blue Devils,New England 2,Tier 2,3,0,1,1,0,0.33
Alex Marcinkowski,92,Southside Rats,Chicago 2,Tier 2,7,0,1,1,0,0.14
Ike Neven,91,Southside Rats,Chicago 2,Tier 2,6,0,1,1,0,0.17
Ryan Mielnicki,29,Southside Stingrays,Chicago 2,Tier 2,4,0,1,1,0,0.25
Keith Kreitzer,1,Southside Stingrays,Chicago 2,Tier 2,4,0,1,1,0,0.25
Alec Gordon,53,Southside Stingrays,Chicago 2,Tier 2,4,0,1,1,0,0.25
Alex Faust,36,Steel City Revenge,Pittsburgh 2,Tier 2,2,0,1,1,0,0.5
Yianni Smallis,13,Steel City Revenge,Pittsburgh 2,Tier 2,3,0,1,1,0,0.33
Chris Sinclair,7,Steel City Revenge,Pittsburgh 2,Tier 2,4,0,1,1,0,0.25
Tyler Cerminara,45,Steel City Revenge,Pittsburgh 2,Tier 2,3,0,1,1,0,0.33
Josh McCullough,19,Steel City Revenge,Pittsburgh 2,Tier 2,4,0,1,1,0,0.25
Matt Migale,44,Steel City Show Stoppers,Pittsburgh,Tier 1,5,0,1,1,0,0.2
Boomer Nikolajski,5,Steel City Show Stoppers,Pittsburgh,Tier 1,5,0,1,1,0,0.2
Steve Kendall,17,Tri-Town Terriers,Massachusetts,Tier 1,5,0,1,1,0,0.2
Adam White,3,Tri-Town Terriers,Massachusetts,Tier 1,5,0,1,1,1.5,0.2
Max Fenkell,11,Washington DC Haze,Washington DC,Tier 2,3,0,1,1,0,0.33
Casey Kleisinger,71,Washington DC Haze,Washington DC,Tier 2,2,0,1,1,0,0.5
Jaxon Decker,47,Winchendon Norsemen,Massachusetts 2,Tier 2,2,0,1,1,0,0.5
Logan Favart,12,Winchendon Norsemen,Massachusetts 2,Tier 2,2,0,1,1,0,0.5
Zach Forbes,13,Winchendon Norsemen,Massachusetts 2,Tier 2,2,0,1,1,3,0.5
Brandon Newell,22,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,1.5,0
Riley Paine,17,A-Town Tropics,Massachusetts 2,Tier 2,6,0,0,0,1.5,0
Kameron Elliotte,43,A-Town Tropics,Massachusetts 2,Tier 2,6,0,0,0,0,0
Kyle Killay,73,A-Town Tropics,Massachusetts 2,Tier 2,6,0,0,0,1.5,0
Alex Sherman,87,A-Town Tropics,Massachusetts 2,Tier 2,3,0,0,0,0,0
Evan Dubrule,1,A-Town Tropics,Massachusetts 2,Tier 2,0,0,0,0,0,0
Tyler Goodwin,8,A-Town Tropics,Massachusetts 2,Tier 2,6,0,0,0,0,0
Cody Bridgwood,11,A-Town Tropics,Massachusetts 2,Tier 2,6,0,0,0,0,0
Vincent Sartor,14,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Paul Heckmuller,19,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Melissa Zehrbach,53,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Josh Tonkins,6,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Shelby Shattuck,99,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Ryan Roberts,11,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Ric'key  Pageot,88,Angel City Rush,California 3,Tier 3,0,0,0,0,0,0
Ryan Bos,9,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Jack Rogers,68,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Zack Freedman,26,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Ryan Osborn,97,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Victor Chu,7,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Jeffrey  Lu,21,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Andy Cool,13,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Connor Noden,,Angel City Rush,California 3,Tier 3,0,0,0,0,0,0
Mostafa Azab,10,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Leah Gonzales,31,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Chris Kuschel,8,Angel City Rush,California 3,Tier 3,0,0,0,0,0,0
Max Orlov,76,Angel City Rush,California 3,Tier 3,0,0,0,0,0,0
Daniel Shaburov,22,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Nathanial  Drenckhahn,91,Angel City Rush,California 3,Tier 3,1,0,0,0,0,0
Brandon Foster,94,Angel City Rush,California 3,Tier 3,0,0,0,0,0,0
Gary Morris,24,Arlington Plague,Washington DC,Tier 2,0,0,0,0,0,0
Scott MacQuarrie,,Arlington Plague,Washington DC,Tier 2,0,0,0,0,0,0
Melissa Clark,5,Arlington Plague,Washington DC,Tier 2,5,0,0,0,0,0
Shaun Fasbinder,44,Arlington Plague,Washington DC,Tier 2,0,0,0,0,0,0
Jordan Loftis,2,Arlington Plague,Washington DC,Tier 2,2,0,0,0,0,0
Dominic Newman,39,Atlantic City Chimney Fish,South Jersey 2,Tier 2,5,0,0,0,0,0
Jason Mcgowan,77,Atlantic City Chimney Fish,South Jersey 2,Tier 2,6,0,0,0,0,0
Matt Stanks,79,Atlantic City Chimney Fish,South Jersey 2,Tier 2,1,0,0,0,0,0
Joe Hughes,92,Atlantic City Chimney Fish,South Jersey 2,Tier 2,6,0,0,0,0,0
Michael  Ormond,99,Atlantic City Chimney Fish,South Jersey 2,Tier 2,7,0,0,0,1.5,0
Jonah Carmany,9,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,0,0,0,0,0
Matt Grey,72,Atlantic City Chimney Fish,South Jersey 2,Tier 2,6,0,0,0,0,0
Jason  Swisher,8,Atlantic City Chimney Fish,South Jersey 2,Tier 2,7,0,0,0,0,0
Woody Faunce,33,Atlantic City Chimney Fish,South Jersey 2,Tier 2,6,0,0,0,0,0
Nick Brown,66,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,0,0,0,1.5,0
Corey Medeiros,10,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Drew Glapa,7,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Nick Boland,85,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Daniel Smith,81,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Taylor Dennard,33,Austin Arsenal,Texas 3,Tier 3,2,0,0,0,0,0
Eric Stelzel,96,Austin Arsenal,Texas 3,Tier 3,2,0,0,0,0,0
Sydnie Fiocca,11,Austin Arsenal,Texas 3,Tier 3,2,0,0,0,0,0
Michael Krein,18,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Jamie Kerr,21,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Andrew Bobst,1,Austin Arsenal,Texas 3,Tier 3,2,0,0,0,0,0
Evan Uram,9,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Logan Wiggers,8,Austin Arsenal,Texas 3,Tier 3,0,0,0,0,0,0
Scott Moore,26,Battletown Gladiators,Washington DC,Tier 2,3,0,0,0,0,0
Owen Quinlan,62,Battletown Gladiators,Washington DC,Tier 2,3,0,0,0,0,0
Todd Thurheimer,27,Battletown Gladiators,Washington DC,Tier 2,3,0,0,0,1.5,0
Patrick Young,2,Battletown Gladiators,Washington DC,Tier 2,3,0,0,0,0,0
Michael Maiorana,92,Battletown Gladiators,Washington DC,Tier 2,3,0,0,0,0,0
John Byrd,75,Battletown Gladiators,Washington DC,Tier 2,0,0,0,0,0,0
James Houghton,11,Battletown Gladiators,Washington DC,Tier 2,0,0,0,0,0,0
Armen Hovsepian,91,Battletown Gladiators,Washington DC,Tier 2,0,0,0,0,0,0
Will Phifer,10,Battletown Gladiators,Washington DC,Tier 2,2,0,0,0,0,0
Thomas Houston,19,Battletown Gladiators,Washington DC,Tier 2,0,0,0,0,0,0
Alex Ortiz,56,Battletown Gladiators,Washington DC,Tier 2,0,0,0,0,0,0
Bobby Pardini,4,Bay Area Bashers,California 2,Tier 2,0,0,0,0,0,0
Max Strang,29,Bay Area Bashers,California 2,Tier 2,0,0,0,0,0,0
Brian Bennetti,23,Bay Area Bashers,California 2,Tier 2,0,0,0,0,0,0
Will Macinnis,11,Bay Area Bashers,California 2,Tier 2,2,0,0,0,3,0
Garrett Lord,31,Bay Area Bashers,California 2,Tier 2,0,0,0,0,0,0
Nic Peterson,55,Bay Area Bashers,California 2,Tier 2,0,0,0,0,0,0
Chris Torres,18,Bay Area Bashers,California 2,Tier 2,2,0,0,0,1.5,0
Adam Goldstein,23,Bay Area Burger Boys,California 3,Tier 3,0,0,0,0,0,0
Chris  Casilli,35,Bay Area Burger Boys,California 3,Tier 3,0,0,0,0,1.5,0
Andy Roy,10,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,3,0
Josh Klag,7,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Jonathan Casilli,13,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Justin Ker,88,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Greg Dunmore,41,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Dan Hilbich,32,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,3,0
Billy Knupp,16,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Kevin Aylesworth,12,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Chris Lambert,31,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
David Pennise,11,Bay Area Burger Boys,California 3,Tier 3,2,0,0,0,0,0
Bobby Shogren,29,Bay Area Burger Boys,California 3,Tier 3,0,0,0,0,0,0
Jon Casper,19,Bellmawr Hawks,New Jersey,Tier 1,6,0,0,0,0,0
Matt Marotta,35,Bellmawr Hawks,New Jersey,Tier 1,0,0,0,0,0,0
Mark Lesher,81,Bellmawr Hawks,New Jersey,Tier 1,6,0,0,0,1.5,0
Nick Campo,24,Bellmawr Hawks,New Jersey,Tier 1,6,0,0,0,3,0
Brian  Gnutk,17,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
John Leane,11,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Mike  Schubert,65,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
James  Leane,32,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Cody  Speroff,75,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Bryan  Dudek,12,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Justin Quaglia,33,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Mark Lukaszewicz,7,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Sean O'Brien,9,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Tom  Nicpon,91,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Alessandro Moraca,81,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Joe Abraham,28,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Rocco Giampietro,22,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Nico  Lazzaroni,3,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Tony  Deeco,55,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Andrew  Weisenburger,4,Belmont Heights Kings,Chicago 2,Tier 2,1,0,0,0,0,0
Jeff  Stare,2,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Dan  Mueller,23,Belmont Heights Kings,Chicago 2,Tier 2,0,0,0,0,0,0
Ezra Berger,8,Bethesda Blazers,Maryland 3,Tier 3,2,0,0,0,0,0
Brando Kobernick,9,Bethesda Blazers,Maryland 3,Tier 3,0,0,0,0,0,0
Dave Sidhu,55,Bethesda Blazers,Maryland 3,Tier 3,0,0,0,0,0,0
Matt Twele,8,Bethesda Blazers,Maryland 3,Tier 3,2,0,0,0,0,0
Sumit Dulani,7,Bethesda Blazers,Maryland 3,Tier 3,2,0,0,0,0,0
Ben Berger,29,Bethesda Blazers,Maryland 3,Tier 3,0,0,0,0,0,0
